Superman,"Superman is an American fictional character, a comic book superhero who appears in comic books published by DC Comics. He is widely considered a national cultural icon. Superman was created by writer Jerry Siegel and artist Joe Shuster, high school students living in Cleveland, Ohio, in 1933; the character was sold to Detective Comics, Inc. in 1938. Superman first appeared in Action Comics #1 and subsequently appeared in various radio serials, television programs, films, newspaper strips, and video games. With the success of his adventures, Superman helped to create the superhero genre and establish its primacy within the American comic book.
Supermans appearance is distinctive and iconic. He usually wears a blue costume, red cape, and stylized red-and-yellow S shield on his chest. This shield is used in a myriad of media to symbolize the character.
The origin story of Superman relates that he was born Kal-El on the planet Krypton, before being rocketed to Earth as an infant by his scientist father Jor-El, moments before Kryptons destruction. Discovered and adopted by a Kansas farmer and his wife, the child is raised as Clark Kent and imbued with a strong moral compass. Very early he started to display superhuman abilities, which upon reaching maturity, he resolved to use for the benefit of humanity. Superman resides and operates in the fictional American city of Metropolis. As Clark Kent, he is a journalist for a Metropolis newspaper called the Daily Planet."
Spider-Man,"Spider-Man is a fictional character, a comic book superhero who appears in comic books published by Marvel Comics. Created by writer-editor Stan Lee and writer-artist Steve Ditko, he first appeared in Amazing Fantasy #15. Lee and Ditko conceived the character as an orphan being raised by his Aunt May and Uncle Ben, and as a teenager, having to deal with the normal struggles of adolescence in addition to those of a costumed crimefighter. Spider-Mans creators gave him super strength and agility, the ability to cling to most surfaces, shoot spider-webs using wrist-mounted devices of his own invention which he called web-shooters, and react to danger quickly with his spider-sense, enabling him to combat his foes.
When Spider-Man first appeared in the early 1960s, teenagers in superhero comic books were usually relegated to the role of sidekick to the protagonist. The Spider-Man series broke ground by featuring Peter Parker, a teenage high school student and person behind Spider-Mans secret identity to whose self-obsessions with rejection, inadequacy, and loneliness young readers could relate. Unlike previous teen heroes such as Bucky and Robin, Spider-Man did not benefit from being the protégé of any adult superhero mentors like Captain America and Batman, and thus had to learn for himself that with great power there must also come great responsibility—a line included in a text box in the final panel of the first Spider-Man story, but later retroactively attributed to his guardian, the late Uncle Ben."
Hulk,"The Incredible Hulk is an ongoing comic book series featuring the Marvel Comics superhero the Hulk and his alter ego Dr. Bruce Banner. First published in May 1962, the series ran for six issues before it was cancelled in March 1963, and the Hulk character began appearing in Tales to Astonish. With Issue #102, Tales to Astonish was renamed to The Incredible Hulk in April 1968, becoming its second volume. The series continued to run until Issue #474 in March 1999 when it was replaced with the series Hulk which ran until February 2000 and was retitled to The Incredible Hulks third volume, running until March 2007 when it became [[The Incredible Hercules with a new title character. The Incredible Hulk returned in September 2009 beginning at Issue #600, which became The Incredible Hulks in November 2010 and focused on the Hulk and the modern incarnation of his expanded family. The series returned to The Incredible Hulk in December 2011 and ran until January 2013, when it was replaced with The Indestructible Hulk as part of Marvels Marvel NOW! reboot."
Wolverine,"Wolverine is a fictional character, a superhero who appears in comic books published by Marvel Comics. Born James Howlett and commonly known as Logan, Wolverine is a mutant who possesses animal-keen senses, enhanced physical capabilities and a healing factor that allows him to recover from virtually any wound, disease, or toxin at an accelerated rate. The healing factor also slows down his aging process, enabling him to live beyond a normal human lifespan. His powerful healing factor enabled the supersoldier program Weapon X to bond the near-indestructible metal alloy adamantium to his skeleton without killing him. He is most often depicted as a member of the X-Men, Alpha Flight, or later the Avengers.
The character first appeared in the last panel of The Incredible Hulk #180 and was created by writer Len Wein and Marvel art director John Romita, Sr., who designed the character, and was first drawn for publication by Herb Trimpe. Wolverine later joined the X-Mens All New, All Different roster in Giant-Size X-Men #1. X-Men writer Chris Claremont played a significant role in the characters subsequent development, along with artist/writer John Byrne, who insisted on making the character older than the other X-Men. Artist Frank Miller collaborated with Claremont and helped to revise the character with a four-part eponymous limited series from September to December 1982 in which Wolverines catchphrase, Im the best there is at what I do, but what I do best isnt very nice, debuted."
"Donald Duck","Donald Duck is a funny animal cartoon character created in 1934 at Walt Disney Productions. Donald is an anthropomorphic white duck with a yellow-orange bill, legs, and feet. He typically wears a sailor suit with a cap and a black or red bow tie. Donald is most famous for his semi-intelligible speech and his mischievous and irritable personality. Along with his friend Mickey Mouse, Donald is one of the most popular Disney characters and was included in TV Guides list of the 50 greatest cartoon characters of all time in 2002. He has appeared in more films than any other Disney character, he is listed as being in approximately 178 theatrical films compared to Mickey Mouses 137. and is the fifth most published comic book character in the world after Batman, Superman, Spider-Man, and Wolverine.
Donald Duck rose to fame with his comedic roles in animated cartoons. His First appearance was in The Wise Little Hen, but it was his second appearance in Orphans Benefit which introduced him as a temperamental comic foil to Mickey Mouse. Throughout the next two decades Donald appeared in over 150 theatrical films, several of which were recognized at the Academy Awards. In the 1930s he typically appeared as part of a comic trio with Mickey and Goofy and was given his own film series in 1937, starting with Don Donald. These films introduced Donalds girlfriend Daisy Duck and sometimes featured his three nephews Huey, Dewey, and Louie. After the 1956 film Chips Ahoy, Donald appeared primarily in educational films before eventually returning to theatrical animation in Mickeys Christmas Carol. His most recent appearance in a theatrical film was 1999s Fantasia 2000. Donald has also appeared in direct-to-video features such as Mickeys Once Upon a Christmas and The Three Musketeers as well as television programs such as DuckTales, Quack Pack, and Mickey Mouse Clubhouse."
Joker,"The Joker is a fictional character, a comic book supervillain appearing in publications by DC Comics. The character was created by Jerry Robinson, Bill Finger and Bob Kane, and first appeared in Batman #1. As the archenemy of the superhero Batman, the Joker has subsequently appeared in television programs, films, games, and on a variety of merchandise. The credit for creating the character is disputed, with both Kane and Robinson claiming responsibility for the Jokers design, but acknowledging Fingers writing contribution.
Throughout his comic book appearances, the Joker is portrayed as a highly intelligent, master criminal. Originally introduced as a psychopath with a warped, sadistic sense of humor, the character became a goofy prankster in the late 1950s in response to the regulation of the Comics Code Authority, before returning to his darker roots in the early 1970s. As Batmans nemesis, Joker has been a part of many of the defining stories of that character, including the paralysis of his Batmans ally Batgirl, and the murder of Jason Todd, Batmans ward and the second Robin. Throughout the Jokers long history, there have been several different origin tales, but the most common has falling into a tank of chemical waste, which bleaches his skin white and turns his hair green and his lips bright red. He has been repeatedly analyzed by critics as the perfect adversary for Batman; their long, dynamic relationship often parallels the concept of yin and yang."
"Judge Dredd","Judge Joseph Dredd is a fictional character whose comic strip in the British science fiction anthology 2000 AD is the magazines longest running, having been featured there since its second issue in 1977. Dredd is an American law enforcement officer in a violent city of the future where uniformed Judges combine the powers of police, judge, jury and executioner. Dredd and his fellow Judges are empowered to arrest, sentence, and even execute criminals on the spot. The character was created by writer John Wagner and artist Carlos Ezquerra, although editor Pat Mills also deserves some credit for early development.
Judge Dredd is amongst the UKs best known home-grown comic characters. So great is the characters name recognition that his name is sometimes invoked over similar issues to those explored by the comic series, such as the police state, authoritarianism, and the rule of law. Judge Dredd was named the Seventh Greatest Comic Character by the British magazine Empire. In 2011, IGN ranked him 35th in the Top 100 Comic Book Heroes."
"Sonic the Hedgehog","Sonic the Hedgehog, trademarked Sonic The Hedgehog, is a title character and the protagonist of the Sonic the Hedgehog series released by Sega, as well as in numerous spin-off comics, 4 animated shows and an animated OVA. The first game was released on June 23, 1991, to provide Sega with a mascot to rival Nintendos flagship character Mario. Since then, Sonic has become one of the worlds best-known video game characters, with his series having sold more than 80 million copies. In 2005, Sonic was one of the first game character inductees into the Walk of Game, alongside Mario and Link.
While many individuals at Sega had a hand in Sonics creation, programmer Yuji Naka and artist Naoto Ōshima are generally credited with the creation of the character, a blue 15-year-old anthropomorphic hedgehog, who has the ability to run at supersonic speeds and the ability to curl into a ball, primarily to attack enemies. This is a major part of the gameplay of the series."
Thor,"Thor is a fictional character, a superhero who appears in comic books published by Marvel Comics. The character first appeared in Journey into Mystery #83 and was created by editor-plotter Stan Lee, scripter Larry Lieber, and penciller Jack Kirby. The mythological Thor had appeared previously in Venus #12-13.
Debuting in the Silver Age of Comic Books, the character is based on the god Thor of Norse mythology. He has starred in several ongoing series and limited series, and has been a perennial member of the superhero team the Avengers, appearing in each of the four volumes. The character has also appeared in associated Marvel merchandise including animated television series, clothing, toys, trading cards, video games, and movies.
The 2011 film Thor, based on the character and comic, was directed by Kenneth Branagh and starred Chris Hemsworth as Thor. Hemsworth reappears as Thor in The Avengers, and Thor: The Dark World is set for release in 2013. Thor placed 14th on IGNs Top 100 Comic Book Heroes of All Time in 2011."
Deadpool,"Deadpool is a fictional character, a mercenary and anti-hero appearing in comic books published by Marvel Comics. Created by artist Rob Liefeld and writer Fabian Nicieza, Deadpool first appeared in The New Mutants #98.
A disfigured and mentally unstable mercenary, Deadpool originally appeared as a villain in an issue of New Mutants, and later in issues of X-Force. The character has since starred in several ongoing series, and shares titles with other characters such as Cable. The character, known as the Merc with a Mouth, is famous for his talkative nature and his tendency to break the fourth wall, which is used by writers for humorous effect.
Deadpool was ranked 182nd on Wizard magazines list of the Top 200 Comic Book Characters of All Time, ranked 45th on Empire magazines list of The 50 Greatest Comic Book Characters, and placed 31st on IGNs list of the Top 100 Comic Book Heroes."
Daredevil,"Daredevil is a fictional character, a superhero that appears in comic books published by Marvel Comics. The character was created by writer-editor Stan Lee and artist Bill Everett, with an unspecified amount of input from Jack Kirby, and first appeared in Daredevil #1.
Living in the Hells Kitchen neighborhood of New York City, Matt Murdock is blinded by a radioactive substance that falls from an oncoming vehicle. While he no longer can see, the radioactive exposure heightens his remaining senses beyond normal human ability. His father, a boxer named Jack Murdock, supports him as he grows up, though Jack is later killed by gangsters after refusing to throw a fight. After donning a yellow and black, and later a dark red, costume, Matt seeks out revenge against his fathers killers as the superhero Daredevil, fighting against his many enemies including Bullseye and the Kingpin. Daredevils nickname is the Man Without Fear.
Although Daredevil had been home to the work of many legendary comic-book artists — Everett, Kirby, Wally Wood, John Romita, Sr., and Gene Colan, among others — Frank Millers influential tenure on the title in the early 1980s is particularly remembered, having cemented the character as a popular and influential part of the Marvel Universe. Daredevil has since appeared in many various forms of media including several animated series, video games, merchandise, and a 2003 feature-length film."
